,-1.90,-1.90
4577,1.65,1.65
4582,1.79,1.79
4586,1.91,1.91
4590,2.00,2.00
4594,2.00,2.00
4598,2.00,2.00
4602,2.00,2.00
4606,2.00,2.00
4611,2.00,2.00
4615,2.00,2.00
4619,2.00,2.00
4623,2.00,2.00
4627,2.00,2.00
4631,2.00,2.00
4635,1.90,1.90
4639,1.80,1.80
4643,1.68,1.68
4648,1.60,1.60
4653,1.53,1.53
4657,1.46,1.46
4661,1.40,1.40
4665,1.35,1.35
4669,1.30,1.30
4673,1.24,1.24
4677,1.21,1.21
4681,1.17,1.17
4685,1.15,1.15
4689,1.09,1.09
4694,1.02,1.02
4698,0.88,0.88
4702,0.73,0.73
4706,0.56,0.56
4710,0.37,0.37
4715,0.15,0.15
4719,-0.07,-0.07
4723,-0.36,-0.36
4728,-0.61,-0.61
4732,-0.79,-0.79
4738,-0.99,-0.99
4742,-1.13,-1.13
4747,-1.22,-1.22
4752,-1.33,-1.33
4756,-1.44,-1.44
4761,-1.61,-1.61
4765,-1.66,-1.66
4770,-1.77,-1.77
4774,-1.92,-1.92
4780,-2.00,-2.00
4785,-2.00,-2.00
4789,-2.00,-2.00
4794,-2.00,-2.00
4798,-2.00,-2.00
4803,-2.00,-2.00
4807,-2.00,-2.00
4812,-2.00,-2.00
4817,-2.00,-2.00
4822,-2.00,-2.00
4827,-2.00,-2.00
4831,-2.00,-2.00
4836,-2.00,-2.00
4840,-2.00,-2.00
4845,-2.00,-2.00
4850,-2.00,-2.00
4854,-2.00,-2.00
4859,-1.96,-1.96
4864,-1.93,-1.93
4869,-1.90,-1.90
4873,-1.88,-1.88
4878,-1.87,-1.87
4883,-1.87,-1.87
4887,-1.87,-1.87
4892,-1.87,-1.87
4896,-1.85,-1.85
4901,-1.81,-1.81
4905,-1.76,-1.76
4911,-1.71,-1.71
4916,-1.63,-1.63
4920,-1.54,-1.54
4925,-1.46,-1.46
4929,-1.33,-1.33
4934,-1.18,-1.18
4938,-1.06,-1.06
4943,-0.91,-0.91
4948,-0.73,-0.73
4953,-0.58,-0.58
4958,-0.40,-0.40
4962,-0.24,-0.24
4967,-0.11,-0.11
4971,0.03,0.03
