,1.26,1.26
3147,2.00,2.00
3151,2.00,2.00
3156,2.00,2.00
3161,2.00,2.00
3165,2.00,2.00
3169,2.00,2.00
3173,2.00,2.00
3177,1.89,1.89
3181,1.74,1.74
3185,1.63,1.63
3189,1.53,1.53
3193,1.41,1.41
3197,1.35,1.35
3202,1.34,1.34
3206,1.37,1.37
3210,1.42,1.42
3214,1.48,1.48
3219,1.53,1.53
3223,1.56,1.56
3227,1.58,1.58
3231,1.59,1.59
3235,1.59,1.59
3239,1.60,1.60
3244,1.61,1.61
3248,1.64,1.64
3252,1.66,1.66
3256,1.65,1.65
3260,1.59,1.59
3264,1.54,1.54
3268,1.48,1.48
3272,1.43,1.43
3276,1.35,1.35
3280,1.24,1.24
3286,1.10,1.10
3290,0.99,0.99
3294,0.83,0.83
3298,0.61,0.61
3302,0.42,0.42
3306,0.21,0.21
3310,-0.08,-0.08
3314,-0.33,-0.33
3319,-0.63,-0.63
3324,-0.93,-0.93
3329,-1.20,-1.20
3334,-1.41,-1.41
3338,-1.68,-1.68
3343,-1.80,-1.80
3347,-1.94,-1.94
3352,-2.00,-2.00
3357,-2.00,-2.00
3361,-2.00,-2.00
3366,-2.00,-2.00
3371,-2.00,-2.00
3376,-2.00,-2.00
3380,-2.00,-2.00
3385,-2.00,-2.00
3390,-2.00,-2.00
3394,-2.00,-2.00
3399,-2.00,-2.00
3403,-2.00,-2.00
3408,-2.00,-2.00
3412,-2.00,-2.00
3418,-2.00,-2.00
3423,-2.00,-2.00
3427,-2.00,-2.00
3432,-2.00,-2.00
3436,-2.00,-2.00
3441,-1.99,-1.99
3445,-1.96,-1.96
3450,-1.96,-1.96
3456,-1.93,-1.93
3460,-1.90,-1.90
3465,-1.85,-1.85
3469,-1.84,-1.84
3474,-1.99,-1.99
3478,-2.00,-2.00
3483,-2.00,-2.00
3488,-2.00,-2.00
3492,-2.00,-2.00
3497,-2.00,-2.00
3502,-2.00,-2.00
3507,-2.00,-2.00
3511,-1.97,-1.97
3516,-1.78,-1.78
3521,-1.52,-1.52
3525,-1.23,-1.23
3530,-1.00,-1.00
3534,-0.69,-0.69
3539,-0.39,-0.39
3544,-0.08,-0.08
3549,0.16,0.16
3553,0.39,0.39
3557,0.63,0.63
3561,0.80,0.80
3565,0.97,0.97
3569,1.17,1.17
3573,1.40,1.40
3577,1.67,1.67
3581,1.98,1.98
3587,2.00,2.00
3591,2.00,2.00
3595,2.00,2.00
3599,2.00,2.00
3603,2.00,2.00
3607,2.00,2.00
3611,2.00,2.00
3615,2.00,2.00
3619,2.00,2.00
3623,2.00,2.00
3628,2.00,2.00
3632,1.91,1.91
3636,1.61,1.61
3640,1.41,1.41
3644,1.25,1.25
3648,1.14,1.14
3653,1.06,1.06
3657,1.03,1.03
3661,1.01,1.01
3665,1.01,1.01
3670,1.04,1.04
3674,1.09,1.09
3678,1.16,1.16
3682,1.22,1.22
3686,1.28,1.28
3690,1.34,1.34
3694,1.36,1.36
3698,1.36,1.36
3702,1.36,1.36
3706,1.38,1.38
3710,1.37,1.37
3715,1.36,1.36
3720,1.31,1.31
3724,1.22,1.22
3728,1.10,1.10
3732,0.97,0.97
3736,0.82,0.82
3740,0.60,0.60
3744,0.39,0.39
3748,0.14,0.14
3752,-0.14,-0.14
3758,-0.48,-0.48
3762,-0.86,-0.86
3767,-1.08,-1.08
3771,-1.36,-1.36
3776,-1.50,-1.50
3780,-1.64,-1.64
3785,-1.72,-1.72
3790,-1.78,-1.78
3794,-1.92,-1.92
3800,-2.00,-2.00
3804,-2.00,-2.00
3809,-2.00,-2.00
3813,-2.00,-2.00
3818,-2.00,-2.00
3823,-2.00,-2.00
3827,-2.00,-2.00
3832,-2.00,-2.00
3836,-2.00,-2.00
3842,-2.00,-2.00
3846,-2.00,-2.00
3851,-2.00,-2.00
3856,-2.00,-2.00
3860,-2.00,-2.00
3865,-2.00,-2.00
3869,-2.00,-2.00
3874,-2.00,-2.00
3878,-1.98,-1.98
3884,-1.93,-1.93
3889,-1.88,-1.88
3893,-1.85,-1.85
3898,-1.81,-1.81
3902,-1.77,-1.77
3907,-1.74,-1.74
3911,-1.81,-1.81
3916,-1.91,-1.91
3921,-1.96,-1.96
3926,-2.00,-2.00
3931,-2.00,-2.00
3935,-2.00,-2.00
3940,-2.00,-2.00
3944,-2.00,-2.00
3949,-2.00,-2.00
3954,-1.96,-1.96
3958,-1.88,-1.88
3963,-1.76,-1.76
3968,-1.62,-1.62
3973,-1.41,-1.41
3977,-1.21,-1.21
3982,-1.01,-1.01
3987,-0.74,-0.74
3991,-0.45,-0.45
3996,-0.21,-0.21
4000,0.13,0.13
4004,0.40,0.40
4008,0.69,0.69
4013,0.97,0.97
4018,1.25,1.25
4022,1.46,1.46
4026,1.63,1.63
4030,1.77,1.77
4034,1.86,1.86
4038,1.94,1.94
4042,2.00,2.00
4046,2.00,2.00
4050,2.00,2.00
4055,2.00,2.00
4059,2.00,2.00
4063,2.00,2.00
4067,2.00,2.00
4071,2.00,2.00
4075,2.00,2.00
4079,2.00,2.00
4084,2.00,2.00
4088,2.00,2.00
4092,1.76,1.76
4097,1.62,1.62
4101,1.52,1.52
4105,1.45,1.45
4109,1.41,1.41
4113,1.38,1.38
4117,1.36,1.36
4121,1.35,1.35
4125,1.36,1.36
4129,1.36,1.36
4133,1.38,1.38
4137,1.41,1.41
4142,1.44,1.44
4146,1.48,1.48
4151,1.47,1.47
4155,1.43,1.43
4159,1.35,1.35
4163,1.21,1.21
4167,1.03,1.03
4171,0.87,0.87
4175,0.74,0.74
4179,0.54,0.54
4184,0.33,0.33
4188,0.12,0.12
4192,-0.10,-0.10
4197,-0.37,-0.37
4201,-0.61,-0.61
4206,-0.76,-0.76
4210,-1.00,-1.00
4215,-1.11,-1.11
4220,-1.30,-1.30
4225,-1.44,-1.44
4230,-1.58,-1.58
4234,-1.74,-1.74
4239,-2.00,-2.00
4243,-2.00,-2.00
4248,-2.00,-2.00
4253,-2.00,-2.00
4257,-2.00,-2.00
4262,-2.00,-2.00
4267,-2.00,-2.00
4272,-2.00,-2.00
4276,-2.00,-2.00
4281,-2.00,-2.00
4286,-2.00,-2.00
4290,-2.00,-2.00
4295,-1.94,-1.94
4299,-1.81,-1.81
4304,-1.70,-1.70
4308,-1.65,-1.65
4314,-1.62,-1.62
4319,-1.63,-1.63
4323,-1.67,-1.67
4328,-1.73,-1.73
4332,-1.80,-1.80
4337,-1.82,-1.82
4341,-1.82,-1.82
4346,-1.80,-1.80
4352,-1.76,-1.76
4356,-1.79,-1.79
4361,-1.83,-1.83
4365,-1.84,-1.84
4370,-1.84,-1.84
4374,-1.87,-1.87
4379,-1.88,-1.88
4384,-1.87,-1.87
4388,-1.82,-1.82
4393,-1.73,-1.73
4398,-1.65,-1.65
4403,-1.51,-1.51
4407,-1.36,-1.36
4412,-1.22,-1.22
4417,-1.05,-1.05
4421,-0.79,-0.79
4426,-0.50,-0.50
4430,-0.12,-0.12
4435,0.30,0.30
4440,0.65,0.65
4444,0.96,0.96
4448,1.24,1.24
4452,1.46,1.46
4456,1.66,1.66
4460,1.86,1.86
4464,2.00,2.00
4468,2.00,2.00
4472,2.00,2.00
4476,2.00,2.00
4481,2.00,2.00
4486,2.00,2.00
4490,2.00,2.00
4494,2.00,2.00
4498,2.00,2.00
4502,2.00,2.00
4506,2.00,2.00
4510,2.00,2.00
4514,1.98,1.98
4518,1.81,1.81
4523,1.65,1.65
4527,1.50,1.50
4531,1.38,1.38
4535,1.28,1.28
4539,1.25,1.25
4543,1.25,1.25
4547,1.29,1.29
4552,1.33,1.33
4556,1.39,1.39
4560,1.44,1.44
4564,1.48,1.48
4569,1.52,1.52
4573,1.52,1.52
4577,1.55,1.55
4581,1.57,1.57
4585,1.57,1.57
4589,1.54,1.54
4593,1.48,1.48
4597,1.40,1.40
4601,1.29,1.29
4605,1.13,1.13
4610,0.97,0.97
4614,0.80,0.80
4619,0.71,0.71
4623,0.59,0.59
4627,0.43,0.43
4631,0.25,0.25
4635,0.05,0.05
4639,-0.15,-0.15
4643,-0.38,-0.38
4648,-0.53,-0.53
4654,-0.73,-0.73
4658,-0.76,-0.76
4663,-0.86,-0.86
4667,-0.92,-0.92
4672,-0.93,-0.93
4676,-0.96,-0.96
4681,-1.03,-1.03
4686,-1.12,-1.12
4690,-1.24,-1.24
4696,-1.37,-1.37
4700,-1.46,-1.46
4705,-1.60,-1.60
4709,-1.72,-1.72
4714,-1.83,-1.83
4719,-2.00,-2.00
4723,-2.00,-2.00
4728,-2.00,-2.00
4732,-2.00,-2.00
4738,-2.00,-2.00
4742,-2.00,-2.00
4747,-2.00,-2.00
4752,-2.00,-2.00
4756,-2.00,-2.00
4761,-1.97,-1.97
4765,-1.85,-1.85
4770,-1.75,-1.75
4774,-1.71,-1.71
4780,-1.69,-1.69
4785,-1.70,-1.70
4789,-1.75,-1.75
4794,-1.80,-1.80
4798,-1.86,-1.86
4803,-1.88,-1.88
4807,-1.88,-1.88
4812,-1.84,-1.84
4817,-1.78,-1.78
4822,-1.74,-1.74
4827,-1.83,-1.83
4831,-1.89,-1.89
4836,-1.93,-1.93
4840,-1.96,-1.96
4845,-1.99,-1.99
4850,-1.99,-1.99
4854,-1.96,-1.96
4859,-1.94,-1.94
4864,-1.89,-1.89
4869,-1.80,-1.80
4873,-1.72,-1.72
4878,-1.58,-1.58
4883,-1.44,-1.44
4887,-1.31,-1.31
4892,-1.14,-1.14
4896,-0.94,-0.94
4901,-0.68,-0.68
4905,-0.47,-0.47
4911,-0.20,-0.20
4916,0.08,0.08
4920,0.35,0.35
4924,0.64,0.64
4928,0.96,0.96
4932,1.33,1.33
4936,1.66,1.66
4940,2.00,2.00
4944,2.00,2.00
4948,2.00,2.00
4953,2.00,2.00
4957,2.00,2.00
4961,2.00,2.00
4965,2.00,2.00
4969,2.00,2.00
4973,2.00,2.00
4977,2.00,2.00
4981,2.00,2.00
4986,2.00,2.00
4990,2.00,2.00
4995,1.83,1.83
4999,1.63,1.63
5003,1.46,1.46
5007,1.30,1.30
5011,1.22,1.22
5015,1.15,1.15
5019,1.13,1.13
5023,1.14,1.14
5027,1.14,1.14
5031,1.17,1.17
5036,1.18,1.18
5040,1.21,1.21
5044,1.27,1.27
5049,1.32,1.32
5053,1.38,1.38
5057,1.43,1.43
5061,1.47,1.47
5065,1.51,1.51
5069,1.52,1.52
5073,1.49,1.49
5078,1.45,1.45
5082,1.43,1.43
5086,1.38,1.38
5090,1.30,1.30
5094,1.21,1.21
5098,1.07,1.07
5102,0.97,0.97
5106,0.84,0.84
5110,0.66,0.66
5115,0.46,0.46
5120,0.26,0.26
5124,-0.01,-0.01
5128,-0.22,-0.22
5133,-0.47,-0.47
5137,-0.57,-0.57
