,1.62,1.62
4362,1.67,1.67
4366,1.99,1.99
4370,2.00,2.00
4374,2.00,2.00
4378,2.00,2.00
4383,2.00,2.00
4387,2.00,2.00
4391,2.00,2.00
4396,2.00,2.00
4400,2.00,2.00
4404,2.00,2.00
4408,2.00,2.00
4412,1.94,1.94
4416,1.79,1.79
4420,1.61,1.61
4424,1.50,1.50
4428,1.37,1.37
4432,1.26,1.26
4436,1.17,1.17
4441,1.14,1.14
4445,1.12,1.12
4450,1.11,1.11
4454,1.11,1.11
4458,1.10,1.10
4462,1.07,1.07
4466,1.04,1.04
4470,0.98,0.98
4474,0.97,0.97
4478,0.99,0.99
4483,1.04,1.04
4487,1.06,1.06
4491,1.06,1.06
4495,1.08,1.08
4499,1.08,1.08
4503,1.04,1.04
4507,0.96,0.96
4511,0.86,0.86
4516,0.83,0.83
4520,0.76,0.76
4525,0.65,0.65
4529,0.52,0.52
4533,0.33,0.33
4537,0.07,0.07
4541,-0.17,-0.17
4545,-0.42,-0.42
4550,-0.72,-0.72
4555,-0.81,-0.81
4559,-1.27,-1.27
4564,-1.57,-1.57
4569,-1.72,-1.72
4574,-1.75,-1.75
4578,-2.00,-2.00
4583,-2.00,-2.00
4588,-2.00,-2.00
4592,-2.00,-2.00
4597,-2.00,-2.00
4601,-2.00,-2.00
4606,-2.00,-2.00
4611,-2.00,-2.00
4616,-2.00,-2.00
4621,-1.90,-1.90
4625,-1.67,-1.67
4630,-1.68,-1.68
4634,-1.72,-1.72
4639,-1.64,-1.64
4643,-1.80,-1.80
4648,-1.79,-1.79
4654,-2.00,-2.00
4658,-2.00,-2.00
4663,-2.00,-2.00
4667,-1.92,-1.92
4672,-1.77,-1.77
4676,-1.68,-1.68
4681,-1.59,-1.59
4686,-1.47,-1.47
4690,-1.40,-1.40
4696,-1.60,-1.60
4700,-1.74,-1.74
4705,-1.86,-1.86
4709,-1.98,-1.98
4714,-2.00,-2.00
4719,-2.00,-2.00
4723,-2.00,-2.00
4728,-2.00,-2.00
4732,-2.00,-2.00
4738,-2.00,-2.00
4742,-2.00,-2.00
4747,-2.00,-2.00
4752,-2.00,-2.00
4756,-2.00,-2.00
4761,-1.90,-1.90
4765,-1.80,-1.80
4770,-1.64,-1.64
4774,-1.48,-1.48
4780,-1.34,-1.34
4785,-1.17,-1.17
4789,-0.93,-0.93
4794,-0.77,-0.77
4798,-0.53,-0.53
4803,-0.31,-0.31
4807,-0.11,-0.11
4812,0.49,0.49
4816,1.07,1.07
4820,1.30,1.30
4825,2.00,2.00
4829,2.00,2.00
4833,2.00,2.00
4837,2.00,2.00
4841,2.00,2.00
4845,2.00,2.00
4850,2.00,2.00
4854,2.00,2.00
4858,2.00,2.00
4862,2.00,2.00
4867,2.00,2.00
4871,2.00,2.00
4875,2.00,2.00
4879,1.79,1.79
4883,1.61,1.61
4887,1.43,1.43
4891,1.27,1.27
4895,1.16,1.16
4899,1.07,1.07
4903,0.99,0.99
4908,0.96,0.96
4912,0.90,0.90
4917,0.84,0.84
4921,0.79,0.79
4925,0.76,0.76
4929,0.74,0.74
4933,0.77,0.77
4937,0.83,0.83
4941,0.90,0.90
4945,0.94,0.94
4950,0.99,0.99
4954,1.05,1.05
4958,1.05,1.05
4962,0.98,0.98
4966,0.91,0.91
4970,0.84,0.84
4974,0.74,0.74
4978,0.65,0.65
4983,0.55,0.55
4987,0.46,0.46
4992,0.32,0.32
4996,0.16,0.16
5000,-0.06,-0.06
5004,-0.32,-0.32
5009,-0.55,-0.55
5013,-0.70,-0.70
5018,-1.08,-1.08
5023,-1.20,-1.20
5027,-1.33,-1.33
5032,-1.69,-1.69
5037,-1.74,-1.74
5042,-1.89,-1.89
5046,-2.00,-2.00
5051,-2.00,-2.00
5056,-2.00,-2.00
5060,-2.00,-2.00
5065,-2.00,-2.00
5069,-2.00,-2.00
5074,-2.00,-2.00
5079,-2.00,-2.00
5084,-1.81,-1.81
5089,-1.42,-1.42
5093,-1.23,-1.23
5098,-1.18,-1.18
5102,-1.21,-1.21
5107,-1.25,-1.25
5111,-1.39,-1.39
5116,-1.53,-1.53
5122,-1.71,-1.71
5126,-1.82,-1.82
5131,-1.91,-1.91
5135,-1.85,-1.85
