,-0.57,-0.57
4887,-2.00,-2.00
4892,-2.00,-2.00
4896,-2.00,-2.00
4901,-2.00,-2.00
4907,-2.00,-2.00
4911,-2.00,-2.00
4916,-1.94,-1.94
4920,-1.87,-1.87
4925,-1.78,-1.78
4929,-1.69,-1.69
4934,-1.65,-1.65
4939,-1.64,-1.64
4943,-1.58,-1.58
4948,-1.49,-1.49
4953,-1.37,-1.37
4958,-1.19,-1.19
4962,-0.98,-0.98
4967,-0.72,-0.72
4972,-0.48,-0.48
4976,-0.24,-0.24
4981,0.07,0.07
4985,0.33,0.33
4989,0.58,0.58
4994,0.96,0.96
4998,1.24,1.24
5002,1.56,1.56
5006,1.87,1.87
5010,2.00,2.00
5014,2.00,2.00
5018,2.00,2.00
5022,2.00,2.00
5026,2.00,2.00
5030,2.00,2.00
5036,2.00,2.00
5040,1.98,1.98
5044,1.79,1.79
5048,1.71,1.71
5052,1.64,1.64
5056,1.61,1.61
5060,1.59,1.59
5064,1.57,1.57
5068,1.54,1.54
5072,1.52,1.52
5076,1.49,1.49
5081,1.41,1.41
5085,1.35,1.35
5089,1.30,1.30
5093,1.27,1.27
5097,1.23,1.23
5102,1.23,1.23
5106,1.27,1.27
5110,1.32,1.32
5114,1.31,1.31
5118,1.35,1.35
5123,1.38,1.38
5127,1.44,1.44
5131,1.47,1.47
